Handle,Variant SKU,Option1 Value,Option2 Value,Option3 Value,Location,On hand (new)
duck-decoys-motion-duck-waterfowl-decoration-floating-mallard-decoys-for-garden-outdoor-camping-backyard-patio-pond-pool,141052eating200007763201336100,eating,,,Epcot Resorts Blvd,150
duck-decoys-motion-duck-waterfowl-decoration-floating-mallard-decoys-for-garden-outdoor-camping-backyard-patio-pond-pool,14366standguard200007763201336100,stand guard,,,Epcot Resorts Blvd,150
rgb-ac12v24v-3w-6w-9w-12w-15w-18w-ip68-waterproof-swimming-pool-accessories-light-outdoor-submersible-lights-for-pond-vase,1420000019512WAC24VRGBRemote,12W AC24V RGB Remote,,,Epcot Resorts Blvd,150
rgb-ac12v24v-3w-6w-9w-12w-15w-18w-ip68-waterproof-swimming-pool-accessories-light-outdoor-submersible-lights-for-pond-vase,1420000213015WAC24VRGBRemote,15W AC24V RGB Remote,,,Epcot Resorts Blvd,150
rgb-ac12v24v-3w-6w-9w-12w-15w-18w-ip68-waterproof-swimming-pool-accessories-light-outdoor-submersible-lights-for-pond-vase,143663WAC12VRBGRemote,3W AC12V RBG Remote,,,Epcot Resorts Blvd,150
rgb-ac12v24v-3w-6w-9w-12w-15w-18w-ip68-waterproof-swimming-pool-accessories-light-outdoor-submersible-lights-for-pond-vase,144966WAC12VWarmWhite,6W AC12V Warm White,,,Epcot Resorts Blvd,150
rgb-ac12v24v-3w-6w-9w-12w-15w-18w-ip68-waterproof-swimming-pool-accessories-light-outdoor-submersible-lights-for-pond-vase,141753WAC12VGreen,3W AC12V Green,,,Epcot Resorts Blvd,150
rgb-ac12v24v-3w-6w-9w-12w-15w-18w-ip68-waterproof-swimming-pool-accessories-light-outdoor-submersible-lights-for-pond-vase,141933WAC12VBlue,3W AC12V Blue,,,Epcot Resorts Blvd,150
rgb-ac12v24v-3w-6w-9w-12w-15w-18w-ip68-waterproof-swimming-pool-accessories-light-outdoor-submersible-lights-for-pond-vase,14293WAC12VColdWhite,3W AC12V Cold White,,,Epcot Resorts Blvd,150
rgb-ac12v24v-3w-6w-9w-12w-15w-18w-ip68-waterproof-swimming-pool-accessories-light-outdoor-submersible-lights-for-pond-vase,141733WAC12VRed,3W AC12V Red,,,Epcot Resorts Blvd,150
